Marca temporal,Naciste en Antas?,Cual es tu edad?,¿trabajas en Antas? ,En caso de trabajar fuera ¿donde?,¿Dónde etiquetarías tu trabajo?,¿Cuántos años lleva usted viviendo en antas?,Cuál es su nivel de estudios?,Nivel de renta (en bruto) al año,¿Tienes deudas con los bancos?,¿Ahorras una parte de tu salario?,¿Qué opinas de los impuestos?,Cuanto gastas en electricidad mensualmente,¿Estarías de acuerdo con que el ayuntamiento ayudase con las facturas de luz de los vecinos?,¿Cómo calificarías tu estado de salud general?,¿Tienes alguna condición médica crónica?,¿Con que frecuencia realizas deporte?,¿Cómo describirías la calidad de sueño?,¿Cómo describirías el equilibrio de tu alimentación?,"¿Estás satisfecho con los servicios de salud disponibles en Antas? En caso de ser no, ¿porque?",¿Has estado alguna vez en el psicólogo y/o psiquiatra?,¿Crees que ir al psicólogo implica algún estigma?,¿Crees que el ayuntamiento debería ayudar a financiar los tratamientos psicológicos de los vecinos?,¿Cuál es tu opinión sobre el cambio climático?,¿Crees que el pueblo necesita una piscina pública?,¿Qué opinión le merece el coche electrico?,¿Cual es la solución para las sequias en Almería?,¿El ayuntamiento debe hacer políticas activas para proteger el agua de Antas?,¿Consideras que la gestión de residuos en Antas es efectiva?,¿Te gustaría ver más áreas verdes o espacios públicos orientados a la sostenibilidad en Antas?,¿Crees que la Inteligencia artificial y las nuevas tecnologías son beneficiosas para la sociedad?,¿Cuál crees que son las carreras profesionales con más futuro? puedes elegir más de una opción.,¿Crees que el municipio de Antas ofrece suficientes oportunidades de empleo para los jóvenes?,¿Piensas que la conexión de Antas con las ciudades cercanas es adecuada para el desarrollo económico del municipio?,Antas es el municipio con mas empresas por habitante de Andalucía ¿por que crees que es esto?,¿consideras que es fácil montar una empresa en Antas?,¿Cómo valoras la calidad de los trabajos que hay en el municipio?,¿Cómo valorarías el pueblo de antas? elige todas las etiquetas con las que estés de acuerdo,¿Qué opinas sobre el nivel de limpieza y mantenimiento en las áreas públicas de Antas?,¿Cómo valoras el nivel de infraestructuras existentes en el pueblo?,"Cual de estas infraestructuras crees que son las mas urgentes para el pueblo? puedes elegir un máximo de 3, no es necesario que marques las 3.",¿De todas las opciones anteriores cual es la mas urgente?,¿Te gustaría que los presupuestos generales del ayuntamiento fuesen mas participativos?,¿Te gustaría que se hiciese una política innovadora de embellecimiento del pueblo? puede elegir todas las que este de acuerdo,¿Se te ocurre alguna otra medida de embellecimiento?,¿Qué expectativas tienes sobre el crecimiento del pueblo de Antas?,¿Cuál crees que es el principal problema del municipio?,¿Te gustaría que Antas creciera y fuese un pueblo más grande?,¿Crees que el ayuntamiento está haciendo lo suficiente para promover y preservar su patrimonio y tradiciones culturales?,¿Cómo valoras el patrimonio histórico de la cultura  Argarica?,¿Crees que se debe invertir más dinero en fomentar nuestra cultura argárica de cara al resto de España?,¿Crees que la feria de Antas debería ser un evento donde el ayuntamiento debe hacer un gran desembolso de dinero?,¿Cómo valoras la actividad social del pueblo?,¿Estás satisfecho con las opciones de actividades deportivas disponibles en Antas para niños y jóvenes?,"¿Crees que  la oferta de servicios deportivos en las escuelas municipales es adecuada? En caso de ser no la respuesta, explique que se podría hacer para mejorar.","¿Te gustaría que se creara un equipo de futbol Sala Sénior en el pueblo de Antas, junto a una estrategia en las escuelas deportivas para educar a los jóvenes en este deporte desde pequeños?"
7/08/2023 16:34:28,Sí,60,Sí,,Empresario,toda la vida,Grado medio,10.000-18.000€,no,"si, algunos meses",si se gestionases bien y me ofrecen buenos servicios publicos estaría dispuesto a pagar más,más de 100€,"si, pero solo a los mas necesitados",Bueno,No,1-2 veces por semana,Regular,Bueno,si,no,"No, todos deberíamos ir alguna vez",no,Es un problema que debemos afrontar entre todos,indiferente,indiferente,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más","Si, nos harán mas productivos y facilitaran la vida","Carreras tecnológicas (programadores, ingenieros, informaticos, etc), Carreras tradicionales ( Arquitectura, medicina, etc)","no, pero vamos por el buen camino","Si, los servicios de comunicación son adecuados",buenas políticas municipales (ej: construcción de polígonos),"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos y de buena calidad,"tranquilo, humilde, bonito, un pueblo unido, un pueblo prospero","bueno, pero puede mejorar","está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","construcción de nuevos parques de vivienda, residencia de Ancianos, modernización de infraestructuras hidráulicas",Parque de vivienda ,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero",modernizar rotondas,No,"Bajas, no creo que cambien demasiado",el suministro de Agua cada vez mas caro para el riego,"si, Antas debería ser un pueblo grande e importante en la comarca",si,"es un orgullo pertenecer a un pueblo con esta historia, hay que proteger la identidad","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, creo que no se debería gastar tanto en estas cuestiones, hay otros temas más importantes",considero que es un pueblo muy animado,si,,"no, las escuelas deportivas deben seguir apostando por el futbol 7"
7/08/2023 16:44:51,Sí,64,Sí,,Empresario,toda la vida,ESO,10.000-18.000€,"si, pero pequeñas","si, algunos meses",las administraciones deben reducir algunos,más de 100€,"si, pero solo a los mas necesitados",Malo,Sí,1-2 veces por semana,Regular,Bueno,si,no,"No, pero creo que hoy día se va por cualquier cosa",no,Es un problema que debemos afrontar entre todos,indiferente,indiferente,hacer trasvases a ríos de otras comunidades autónomas,esas cuestiones son asuntos de la junta y el gobierno central,"si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más","no, destruirán trabajo y empobrecerán a la gente","Carreras sociales (abogados, asistentes sociales, psicólogos, sociólogos, periodistas, etc), carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc)","si, somos un pueblo con pleno empleo","no, se necesita mas medios de comunicación públicos",el Antuso es muy trabajador y eso hace que las empresas se sientan cómodas en Antas,"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos y de buena calidad,"tranquilo, seguro, tradicional, bonito, un pueblo prospero",bueno,"está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","Pabellón, construcción de nuevos parques de vivienda, parques y espacios verdes con agua",Pabellon,no sabría que decir,modernización estética del puente viejo y nuevo,,"Altas, creo que vamos a crecer mucho estas decadas",la perdida de valores de la juventud,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",no,,"no, las escuelas deportivas deben seguir apostando por el futbol 7"
7/08/2023 16:45:04,Sí,50,No,H Overa,funcionario,toda la vida,Universitarios,25.000-30.000€,no,"si, todos los meses",las administraciones deben reducir algunos,más de 100€,"si, pero solo a los mas necesitados",Bueno,No,1-2 veces por semana,Buena,Bueno,Atencion privada,no,"No, todos deberíamos ir alguna vez",no,Es un problema que debemos afrontar entre todos,indiferente,tienen que sustituir a los de gasolina,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más","Si, nos harán mas productivos y facilitaran la vida","Carreras tecnológicas (programadores, ingenieros, informaticos, etc)","no, pero vamos por el buen camino","no, se necesita mas medios de comunicación públicos",el antuso tiene una mentalidad muy emprendedora,"no, el ayuntamiento debería apoyar mas a los jóvenes emprendedores",Hay muchos trabajos y de buena calidad,"tranquilo, tradicional, un pueblo prospero",bueno,"Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","Pabellón, construcción de nuevos parques de vivienda, residencia de Ancianos, teatro, parques y espacios verdes con agua, Gymnasio, mejora de las carreteras de comunicación con pedanías, mayor conexión de autobús con los pueblos del resto de la comarca","Pabellon , espacios verde- agua,  viviendas unifamiliares","si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero","Pintar las casas con una armonía de tonalidades de color, Mayor decoración verde y arboleada, modernización estética del puente viejo y nuevo, modernizar rotondas",No,"Altas, creo que vamos a crecer mucho estas decadas",la necesidad de una estrategia de crecimiento poblacional eficaz,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural",creo que las inversiones actuales son adecuadas,"No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",no,Escuela Municipal de Música ,"no, las escuelas deportivas deben seguir apostando por el futbol 7"
7/08/2023 16:46:17,Sí,54,Sí,,Agrícola,toda la vida,Otro,,"si, pero pequeñas","si, algunos meses",las administraciones deben reducirlos todos,más de 50€,"si, pero solo a los mas necesitados",Bueno,No,1-2 veces por semana,Buena,Bueno,si,no,,estoy indeciso,Es un problema que debemos afrontar entre todos,indiferente,indiferente,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más",estoy confuso con este tema,"Carreras tecnológicas (programadores, ingenieros, informaticos, etc)","no, pero vamos por el buen camino","no, se necesita mas medios de comunicación públicos",el antuso tiene una mentalidad muy emprendedora,"no, montar una empresa es déficil en Antas y en cualquier sitio de España",Hay muchos trabajos pero gran parte de ellos son de mala calidad,"tranquilo, tradicional, bonito, un pueblo prospero",bueno,"está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","Pabellón, Cine, parques y espacios verdes con agua, rutas de senderismo, mayor conexión de autobús con los pueblos del resto de la comarca",Pabellón ,no sabría que decir,"Mayor decoración verde y arboleada, modernización de las calles de abajo",No,"Altas, creo que vamos a crecer mucho estas decadas",la perdida de valores de la juventud,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto",considero que es un pueblo muy animado,si,Si,"no, las escuelas deportivas deben seguir apostando por el futbol 7"
7/08/2023 16:49:58,No vivo en Antas,18,No,Vera,transporte,toda la vida,ESO,10.000-18.000€,no,"si, algunos meses",las administraciones deben reducir algunos,menos de 50€,no,Excelente,No,1-2 veces por semana,Regular,Regular,No los he practicado Luis Angel.,si,"No, pero creo que hoy día se va por cualquier cosa",no,Es una mentira de la televisión,indiferente,estoy en contra de ellos,construcción de desaladoras,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","No, los espacios verdes actuales son adecuados",estoy confuso con este tema,"emprendimiento empresarial, carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc)","si, somos un pueblo con pleno empleo","Si, los servicios de comunicación son adecuados",buenas políticas municipales (ej: construcción de polígonos),"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos y de buena calidad,"tranquilo, seguro, polémico, tradicional, rico, humilde, aburrido, soso, un pueblo unido",bueno,"está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","Pabellón, construcción de nuevos parques de vivienda, mayor conexión de autobús con los pueblos del resto de la comarca",La conexión de autobús Lusi.,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero","Mayor decoración verde y arboleada, modernización estética del puente viejo y nuevo, modernización de las calles de abajo",no,"Altas, creo que vamos a crecer mucho estas decadas",la inmigración,"si, Antas debería ser un pueblo grande e importante en la comarca",no,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","Sí, debería ser un evento que destaque en la comarca, hay que gastar más","los últimos años ha mejorado, pero aun hay que animarlo más",si,si,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 17:06:23,Me vine ya de adulto,Casi 63,No,,Estoy en paro,mas de 10,Grado medio,5.000-10.000€,no,,las administraciones deben reducir algunos,,no,Regular,Sí,1-2 veces por semana,Buena,Regular,,no,"No, pero creo que hoy día se va por cualquier cosa",no,Es un problema que debemos afrontar entre todos,indiferente,estoy en contra de ellos,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","Si, se necesitan muchos mas espacios verdes y naturales",estoy confuso con este tema,"oposiciones (funcionariado), carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc)",,"Si, los servicios de comunicación son adecuados",buenas políticas municipales (ej: construcción de polígonos),"no, montar una empresa es déficil en Antas y en cualquier sitio de España",,"tranquilo, tradicional, dinamico, un pueblo prospero","bueno, pero puede mejorar",Creo que Antas tiene las infraestructuras adecuadas para su número de habitantes,"construcción de nuevos parques de vivienda, parques y espacios verdes con agua, mejora de las carreteras de comunicación con pedanías",Vivienda,"no, la gestión de los presupuestos es una cuestión únicamente del equipo de gobierno",modernización de las calles de abajo,,"Altas, creo que vamos a crecer mucho estas decadas",la perdida de valores de la juventud,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",,,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 17:10:53,Me vine ya de adulto,36,Sí,,funcionario,mas de 10,Universitarios,18.000-25.000€,no,"si, algunos meses",las administraciones deben reducir algunos,más de 200€,"si, pero solo a los mas necesitados",Excelente,No,una vez por semana,excelente,Bueno,si,no,"No, todos deberíamos ir alguna vez",no,Es un problema que debemos afrontar entre todos,"si, cada verano hace mas calor y es totalmente necesaria",estoy en contra de ellos,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","No, los espacios verdes actuales son adecuados","Si, nos harán mas productivos y facilitaran la vida","oposiciones (funcionariado), Carreras tecnológicas (programadores, ingenieros, informaticos, etc)","si, somos un pueblo con pleno empleo","no, se necesita mas medios de comunicación públicos",el Antuso es muy trabajador y eso hace que las empresas se sientan cómodas en Antas,"no, el ayuntamiento debería apoyar mas a los jóvenes emprendedores",Hay muchos trabajos pero gran parte de ellos son de mala calidad,"tranquilo, tradicional, rico, bonito, un pueblo prospero","bueno, pero puede mejorar","Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","piscina pública, Pabellón, construcción de nuevos parques de vivienda, mayor conexión de autobús con los pueblos del resto de la comarca",Vivienda,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero","Pintar las casas con una armonía de tonalidades de color, Mayor decoración verde y arboleada, Paredes con pinturas artísticas, modernización estética del puente viejo y nuevo, modernización de las calles de abajo, modernizar rotondas",,"Altas, creo que vamos a crecer mucho estas decadas",La seguridad,"si, Antas debería ser un pueblo grande e importante en la comarca",si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, creo que no se debería gastar tanto en estas cuestiones, hay otros temas más importantes","los últimos años ha mejorado, pero aun hay que animarlo más",si,,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 17:11:29,Sí,60 años ,Sí,,Agrícola,toda la vida,ESO,80.000-100.000€,"si, y grandes",me lo gasto todo,las administraciones deben reducir algunos,mas de 400€,"si, pero solo a los mas necesitados",Regular,No,una vez por semana,Regular,Regular,si,no,"No, pero creo que hoy día se va por cualquier cosa",no,Es un problema que debemos afrontar entre todos,indiferente,tienen que sustituir a los de gasolina,una mezcla de las dos.,esas cuestiones son asuntos de la junta y el gobierno central,"No, se debería modernizar el estado de los contenedores y realizar una estrategia mas intensa","si, se necesita algún que otro espacio verde más","no, destruirán trabajo y empobrecerán a la gente",emprendimiento empresarial,"no, pero vamos por el buen camino","no, se necesita mas medios de comunicación públicos",el antuso tiene una mentalidad muy emprendedora,"no, el ayuntamiento debería apoyar mas a los jóvenes emprendedores",Hay muchos trabajos y de buena calidad,"tranquilo, humilde","bueno, pero puede mejorar","Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","Pabellón, construcción de nuevos parques de vivienda, mejora de las carreteras de comunicación con pedanías",Viviendas asequibles ,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero","modernización de las calles de abajo, modernizar rotondas",No ,"Bajas, no creo que cambien demasiado",la necesidad de una estrategia de crecimiento poblacional eficaz,"si, Antas debería ser un pueblo grande e importante en la comarca",si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural",creo que las inversiones actuales son adecuadas,"No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",si,Si ,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 17:17:45,Me vine ya de adulto,48,No,Murcia ,funcionario,mas de 10,Universitarios,18.000-25.000€,no,"si, todos los meses",si se gestionases bien y me ofrecen buenos servicios publicos estaría dispuesto a pagar más,más de 50€,"si, pero solo a los mas necesitados",Bueno,No,1-2 veces por semana,Buena,Regular,no,no,"No, todos deberíamos ir alguna vez",estoy indeciso,Es un problema que debemos afrontar entre todos,indiferente,tienen que sustituir a los de gasolina,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más","Si, nos harán mas productivos y facilitaran la vida","Carreras tecnológicas (programadores, ingenieros, informaticos, etc), Carreras sociales (abogados, asistentes sociales, psicólogos, sociólogos, periodistas, etc), emprendimiento empresarial, carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc), Carreras tradicionales ( Arquitectura, medicina, etc), carreras humanísticas (músicos, pintores, deportistas, etc)","no, pero vamos por el buen camino","no, se necesita mas medios de comunicación públicos",el antuso tiene una mentalidad muy emprendedora,"no, montar una empresa es déficil en Antas y en cualquier sitio de España",Hay muchos trabajos pero gran parte de ellos son de mala calidad,"tranquilo, tradicional, rico, soso, juvenil, un pueblo prospero","bueno, pero puede mejorar","está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","Pabellón, residencia de Ancianos, rutas de senderismo, mayor conexión de autobús con los pueblos del resto de la comarca",Comunicaciones,no sabría que decir,"Mayor decoración verde y arboleada, modernización estética del puente viejo y nuevo",,"Bajas, no creo que cambien demasiado",la necesidad de una estrategia de crecimiento poblacional eficaz,"si, Antas debería ser un pueblo grande e importante en la comarca",si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",si,Si,
7/08/2023 17:38:20,Me vine ya de adulto,48,Sí,,funcionario,mas de 20,Universitarios,25.000-30.000€,no,"si, todos los meses",las administraciones deben reducir algunos,más de 100€,no,Bueno,No,3-4 veces por semana,Buena,Bueno,no,no,"No, todos deberíamos ir alguna vez",no,Es un problema que debemos afrontar entre todos,indiferente,tienen que sustituir a los de gasolina,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","Si, se necesitan muchos mas espacios verdes y naturales",estoy confuso con este tema,"oposiciones (funcionariado), Carreras tecnológicas (programadores, ingenieros, informaticos, etc), Carreras sociales (abogados, asistentes sociales, psicólogos, sociólogos, periodistas, etc), emprendimiento empresarial, carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc), Carreras tradicionales ( Arquitectura, medicina, etc), carreras humanísticas (músicos, pintores, deportistas, etc)","si, somos un pueblo con pleno empleo","Si, los servicios de comunicación son adecuados",buenas políticas municipales (ej: construcción de polígonos),"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos pero gran parte de ellos son de mala calidad,"tranquilo, seguro, tradicional","bueno, pero puede mejorar","Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","construcción de nuevos parques de vivienda, residencia de Ancianos, parques y espacios verdes con agua",Vivienda ,no sabría que decir,"Pintar las casas con una armonía de tonalidades de color, Mayor decoración verde y arboleada",,"Altas, creo que vamos a crecer mucho estas decadas",el suministro de Agua cada vez mas caro para el riego,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural",creo que las inversiones actuales son adecuadas,"No, tal y como está hay un buen equilibrio calidad-gasto",considero que es un pueblo muy animado,si,,
7/08/2023 17:51:56,Sí,54,Sí,,"profesiones manuales(electricista, fontanero, etc)",mas de 30,ESO,10.000-18.000€,no,"si, algunos meses",si se gestionases bien y me ofrecen buenos servicios publicos estaría dispuesto a pagar más,más de 100€,no,Regular,Sí,1-2 veces por semana,Regular,Bueno,si,no,"No, todos deberíamos ir alguna vez",no,Es un problema que debemos afrontar entre todos,indiferente,indiferente,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","No, se debería modernizar el estado de los contenedores y realizar una estrategia mas intensa","si, se necesita algún que otro espacio verde más",estoy confuso con este tema,"Carreras tecnológicas (programadores, ingenieros, informaticos, etc), carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc), Carreras tradicionales ( Arquitectura, medicina, etc)","si, somos un pueblo con pleno empleo","Si, los servicios de comunicación son adecuados",buenas políticas municipales (ej: construcción de polígonos),"no, montar una empresa es déficil en Antas y en cualquier sitio de España",Hay muchos trabajos pero gran parte de ellos son de mala calidad,"tranquilo, tradicional, rico, un pueblo prospero","bueno, pero puede mejorar","Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","Pabellón, construcción de nuevos parques de vivienda, residencia de Ancianos",Construcción de nuevos parques de vivíenda,no sabría que decir,"Mayor decoración verde y arboleada, modernización estética del puente viejo y nuevo",Que haya una zona de aparcamiento en el pueblo para que no estén en doble fila en el paseo del huerto ,"Altas, creo que vamos a crecer mucho estas decadas",la necesidad de una estrategia de crecimiento poblacional eficaz,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, creo que no se debería gastar tanto en estas cuestiones, hay otros temas más importantes",considero que es un pueblo muy animado,no,Si,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 18:02:44,Sí,,Sí,,administrativo,toda la vida,Universitarios,60.000-70.000€,no,"si, todos los meses",las administraciones deben reducir algunos,más de 50€,"si, pero solo a los mas necesitados",Excelente,No,1-2 veces por semana,Buena,Bueno,si,si,"No, todos deberíamos ir alguna vez",si,Es un problema que debemos afrontar entre todos,"no, es un despilfarro",tienen que sustituir a los de gasolina,hacer trasvases a ríos de otras comunidades autónomas,"si, debe articular una estrategia a corto, medio y largo plazo","No, se debería modernizar el estado de los contenedores y realizar una estrategia mas intensa","si, se necesita algún que otro espacio verde más","Si, nos harán mas productivos y facilitaran la vida",emprendimiento empresarial,"si, somos un pueblo con pleno empleo","Si, los servicios de comunicación son adecuados",el antuso tiene una mentalidad muy emprendedora,"no, el ayuntamiento debería apoyar mas a los jóvenes emprendedores",Hay muchos trabajos y de buena calidad,aburrido,"bueno, pero puede mejorar","Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","Pabellón, rutas de senderismo, Gymnasio",,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero",,,"Bajas, no creo que cambien demasiado",el suministro de Agua cada vez mas caro para el riego,"si, Antas debería ser un pueblo grande e importante en la comarca",no,"es un orgullo pertenecer a un pueblo con esta historia, hay que proteger la identidad","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, creo que no se debería gastar tanto en estas cuestiones, hay otros temas más importantes","los últimos años ha mejorado, pero aun hay que animarlo más",si,,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 18:21:23,Sí,44 años,Sí,,funcionario,toda la vida,Grado superior,30.000-40.000€,"si, pero pequeñas","si, algunos meses",las administraciones deben reducir algunos,más de 50€,"si, pero solo a los mas necesitados",Bueno,No,una vez por semana,Regular,Bueno,si,no,"No, todos deberíamos ir alguna vez",no,Es un problema que debemos afrontar entre todos,indiferente,indiferente,construcción de desaladoras,esas cuestiones son asuntos de la junta y el gobierno central,"si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más","Si, nos harán mas productivos y facilitaran la vida","Carreras tecnológicas (programadores, ingenieros, informaticos, etc)","si, somos un pueblo con pleno empleo","no, se necesita mas medios de comunicación públicos",el antuso tiene una mentalidad muy emprendedora,"no, el ayuntamiento debería apoyar mas a los jóvenes emprendedores",Hay muchos trabajos pero gran parte de ellos son de mala calidad,"tranquilo, rico, humilde, bonito, un pueblo unido","bueno, pero puede mejorar","está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","piscina pública, Pabellón, mayor conexión de autobús con los pueblos del resto de la comarca",Pabellon,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero","Pintar las casas con una armonía de tonalidades de color, modernización estética del puente viejo y nuevo",,"Altas, creo que vamos a crecer mucho estas decadas",la perdida de valores de la juventud,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto",considero que es un pueblo muy animado,si,Si,"no, las escuelas deportivas deben seguir apostando por el futbol 7"
7/08/2023 18:23:54,Me vine de niño o adolescente,30 años ,No,,Estoy en paro,mas de 20,Otro,,no,,,,"si, pero solo a los mas necesitados",Malo,Sí,1-2 veces por semana,Mala,Regular,Trato despreciativo por parte de María del Carmen Esteban Muros. Inhabiliten la.,si,"No, todos deberíamos ir alguna vez",si,Es un problema que debemos afrontar entre todos,indiferente,tienen que sustituir a los de gasolina,una mezcla de las dos.,,"No, se debería modernizar el estado de los contenedores y realizar una estrategia mas intensa",,"no, destruirán trabajo y empobrecerán a la gente",,"no, debería hacerse más","no, se necesita mas medios de comunicación públicos",,,,"tranquilo, seguro, tradicional, rico, aburrido, soso, envejecido, un pueblo dividido, un pueblo sin oportunidades","bueno, pero puede mejorar","Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","Cine, residencia de Ancianos, mejora de infraestructuras tecnológica",Cine,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero",Paredes con pinturas artísticas,,"Bajas, no creo que cambien demasiado",La calidad de los trabajos,"no, Antas es un pueblo pequeño y tranquilo y debe seguir siendo así",si,No me interesan ese tipo de cuestiones,"no, creo que no hay que prestar atención a este tema.","No, creo que no se debería gastar tanto en estas cuestiones, hay otros temas más importantes","los últimos años ha mejorado, pero aun hay que animarlo más",,,
